# wavelength [nm], red [A / W], green_red [A / W], green_blue [A / W], blue [A / W], mono [A / W], nir [A / W]
300.00000000,0.01458213,0.01322324,0.01401275,0.01222829,0.01072266,0.00078783
305.00000000,0.01512020,0.01400394,0.01472203,0.01320661,0.01146716,0.00209682
310.00000000,0.01651235,0.01530609,0.01615624,0.01471812,0.00979032,0.00298611
315.00000000,0.01101518,0.00992337,0.01065809,0.00942052,0.00716256,0.00210269
320.00000000,0.00974043,0.00861927,0.00926888,0.00824947,0.00970716,-0.00018854
325.00000000,0.01156597,0.01043112,0.01102789,0.01019926,0.00661665,0.00530864
330.00000000,0.01000751,0.00883352,0.00943323,0.00870145,0.00644153,0.00271512
335.00000000,0.00933834,0.00826219,0.00880907,0.00816631,0.00683286,0.00416988
340.00000000,0.00345962,0.00274349,0.00292252,0.00246271,0.00861634,0.00233357
345.00000000,0.00541919,0.00403487,0.00430782,0.00365039,0.00987152,0.00714788
350.00000000,0.00694243,0.00446924,0.00478133,0.00392823,0.00978641,0.00965433
355.00000000,0.00769965,0.00373159,0.00401139,0.00290393,0.01657497,0.01754350
360.00000000,0.01146325,0.00546517,0.00580856,0.00436261,0.02494253,0.02715158
365.00000000,0.01323400,0.00470893,0.00495155,0.00330700,0.03528923,0.03630571
370.00000000,0.01772743,0.00659024,0.00702363,0.00572051,0.05112529,0.05662834
375.00000000,0.02035323,0.00601890,0.00643371,0.00739540,0.06664535,0.07238808
380.00000000,0.02692754,0.00943519,0.00995957,0.01639104,0.08180930,0.08357027
385.00000000,0.02681308,0.00771041,0.00817316,0.02458153,0.09618081,0.10012343
390.00000000,0.02813576,0.01002023,0.01043503,0.04057216,0.10779346,0.10599335
395.00000000,0.02469404,0.00899690,0.00925909,0.05526456,0.11569828,0.11208828
400.00000000,0.02275012,0.01027459,0.01048297,0.07048036,0.12367158,0.11851584
405.00000000,0.01901881,0.01024622,0.01040373,0.08096794,0.12933605,0.12779030
410.00000000,0.01634506,0.01135172,0.01143390,0.08970433,0.13002087,0.13336672
415.00000000,0.01314498,0.01163739,0.01166185,0.09584818,0.13357217,0.13825832
420.00000000,0.00949780,0.01110420,0.01098778,0.09789286,0.13337651,0.13928555
425.00000000,0.00729854,0.01102105,0.01093300,0.10711842,0.13994103,0.14175092
430.00000000,0.00458468,0.01019535,0.01002218,0.11440689,0.14435325,0.14175092
435.00000000,0.00585454,0.01371338,0.01360185,0.12319220,0.14596747,0.14835457
440.00000000,0.00376387,0.01496954,0.01481790,0.12736962,0.15447885,0.15533977
445.00000000,0.00572834,0.02089424,0.02083555,0.13622341,0.15252221,0.15543761
450.00000000,0.00305166,0.02204279,0.02196942,0.13554837,0.15679747,0.16497622
455.00000000,0.00321895,0.02498558,0.02496992,0.14199550,0.16126839,0.16659045
460.00000000,0.00290295,0.02600107,0.02591791,0.14450000,0.16203148,0.16859600
465.00000000,0.00095414,0.02521939,0.02536908,0.13862030,0.15836278,0.16786226
470.00000000,0.00465708,0.03445179,0.03473746,0.14656425,0.16956454,0.17165814
475.00000000,0.00441837,0.04357266,0.04392584,0.14351189,0.17458331,0.16734375
480.00000000,0.00176615,0.05119279,0.05161445,0.13506900,0.16850795,0.17531705
485.00000000,0.00383725,0.06605249,0.06664535,0.13038285,0.17834984,0.17584535
490.00000000,0.00598172,0.08430401,0.08535081,0.12888602,0.18190114,0.17253863
495.00000000,0.00596901,0.09849942,0.09987885,0.11651028,0.18452304,0.17728348
500.00000000,0.00269066,0.10558245,0.10711842,0.09929186,0.17445613,0.18659707
505.00000000,0.00627718,0.12353461,0.12550104,0.09076092,0.17845746,0.19258439
510.00000000,0.00722028,0.13809200,0.14054759,0.08092881,0.18867111,0.18921897
515.00000000,0.00764487,0.14781650,0.15054601,0.06571888,0.18245878,0.19102886
520.00000000,0.00848720,0.14970465,0.15251243,0.05101767,0.17751827,0.19944241
525.00000000,0.01171761,0.16202169,0.16541646,0.04255423,0.18729168,0.19365076
530.00000000,0.01300801,0.17260711,0.17631494,0.03711282,0.19071580,0.19184087
535.00000000,0.01159532,0.17313540,0.17688236,0.03150216,0.19617482,0.19550956
540.00000000,0.01063070,0.16771551,0.17142334,0.02748910,0.18779062,0.20318937
545.00000000,0.00986565,0.16719700,0.17099288,0.02424499,0.18341754,0.21075178
550.00000000,0.01139476,0.17449527,0.17822266,0.02302209,0.19839561,0.19988265
555.00000000,0.01145346,0.16626760,0.16987760,0.01958232,0.20811032,0.19861084
560.00000000,0.01198665,0.15429297,0.15783449,0.01663953,0.20160449,0.21326606
565.00000000,0.01219503,0.14344341,0.14708276,0.01398242,0.19629222,0.22167960
570.00000000,0.01615820,0.13808222,0.14143786,0.01378773,0.20342417,0.21601514
575.00000000,0.03063146,0.13261342,0.13580274,0.01325161,0.20798313,0.21624015
580.00000000,0.07117496,0.11970938,0.12292806,0.01302660,0.21153443,0.21925337
585.00000000,0.11351662,0.10154200,0.10453565,0.01182718,0.21050720,0.23114974
590.00000000,0.13838550,0.08897059,0.09174902,0.01279083,0.20018593,0.23628591
595.00000000,0.15909652,0.07619374,0.07839496,0.01192501,0.19499105,0.22770605
600.00000000,0.18343710,0.06485209,0.06666491,0.01161586,0.20460793,0.21460636
605.00000000,0.19136149,0.05263484,0.05429015,0.01067863,0.21976210,0.21303126
610.00000000,0.18487523,0.04071304,0.04232824,0.00902625,0.22165026,0.22689405
615.00000000,0.18386756,0.03327292,0.03487541,0.00861634,0.20875601,0.23473038
620.00000000,0.18136307,0.02909647,0.03064907,0.00835806,0.20358070,0.22645380
625.00000000,0.18617640,0.02712125,0.02862884,0.00799315,0.20631021,0.21638690
630.00000000,0.19687921,0.02841752,0.02988989,0.01009262,0.21076156,0.21797177
635.00000000,0.19523563,0.02723082,0.02863275,0.01014936,0.21451831,0.22123936
640.00000000,0.18383821,0.02605097,0.02744898,0.01103083,0.21774676,0.22783323
645.00000000,0.17649104,0.02568507,0.02706059,0.01267147,0.21649451,0.24065900
650.00000000,0.17464201,0.02538180,0.02673188,0.01374762,0.20336547,0.25057916
655.00000000,0.17527792,0.02676416,0.02808196,0.01577666,0.19583241,0.24681263
660.00000000,0.17904445,0.02924029,0.03054536,0.01814125,0.20086097,0.23548369
665.00000000,0.18006190,0.03165576,0.03310758,0.01978679,0.21228774,0.23208892
670.00000000,0.16827315,0.03194143,0.03344902,0.01882510,0.22177744,0.23786101
675.00000000,0.15197436,0.03351065,0.03498693,0.01889847,0.22084803,0.24759528
680.00000000,0.14477393,0.03641039,0.03799037,0.01952068,0.20761137,0.24657783
685.00000000,0.14936224,0.04134699,0.04311383,0.02082576,0.20048921,0.23643266
690.00000000,0.16036833,0.04961672,0.05154010,0.02422640,0.19668355,0.22696253
695.00000000,0.16752963,0.05688465,0.05888727,0.02607445,0.19745642,0.22695275
700.00000000,0.17250928,0.06503503,0.06719321,0.02924224,0.19841517,0.22974096
705.00000000,0.17356586,0.06908136,0.07145868,0.02990261,0.20115447,0.23154106
710.00000000,0.16820467,0.06856285,0.07094017,0.02829132,0.20429487,0.23852626
715.00000000,0.16277500,0.06792694,0.07009881,0.02785010,0.20430465,0.24859317
720.00000000,0.15976178,0.06540190,0.06741822,0.02516461,0.19583241,0.25025631
725.00000000,0.16421313,0.06676274,0.06886613,0.02542386,0.17909337,0.24065900
730.00000000,0.17247993,0.07078364,0.07304355,0.02682873,0.17195164,0.22612117
735.00000000,0.18049236,0.07680030,0.07925588,0.02910234,0.17184402,0.22246226
740.00000000,0.18130437,0.08099729,0.08366810,0.02951324,0.17966079,0.22800933
745.00000000,0.17721499,0.08528233,0.08802162,0.03114507,0.18818195,0.23492605
750.00000000,0.17033741,0.08668133,0.08939127,0.03099833,0.19231046,0.24748767
755.00000000,0.16249129,0.08730745,0.09001739,0.03097387,0.18751670,0.24742897
760.00000000,0.15274723,0.08661284,0.08944997,0.02954748,0.17922055,0.24345699
765.00000000,0.14605552,0.08730745,0.09033046,0.03016284,0.17122768,0.23262700
770.00000000,0.14733712,0.09168054,0.09478181,0.03450071,0.16471207,0.22429172
775.00000000,0.14904918,0.09415569,0.09730587,0.03701401,0.16236411,0.21760980
780.00000000,0.15190587,0.09863639,0.10182571,0.04313340,0.15663115,0.21805982
785.00000000,0.15170043,0.10259858,0.10559224,0.05289018,0.15352010,0.21775654
790.00000000,0.14480327,0.10302904,0.10583682,0.06529820,0.15282549,0.21863703
795.00000000,0.13506900,0.10106262,0.10335189,0.07932436,0.15209175,0.21949795
800.00000000,0.12935561,0.10006473,0.10202137,0.09130878,0.15355923,0.21966427
805.00000000,0.12951214,0.10227574,0.10455522,0.09990820,0.15006663,0.22074042
810.00000000,0.13259385,0.10766627,0.10996532,0.10799890,0.14738604,0.21589774
815.00000000,0.13352325,0.11222524,0.11475909,0.11428950,0.13621363,0.20473511
820.00000000,0.13484398,0.11675486,0.11998331,0.12016919,0.12467925,0.19166477
825.00000000,0.13539184,0.11967025,0.12302589,0.12317264,0.11681356,0.18097174
830.00000000,0.13854203,0.12468903,0.12767290,0.12763377,0.11382969,0.17696063
835.00000000,0.13838550,0.12582388,0.12842621,0.12713483,0.11506237,0.17786068
840.00000000,0.13654626,0.12567713,0.12796640,0.12470860,0.11581567,0.17848681
845.00000000,0.12912082,0.12077575,0.12301610,0.11972895,0.11868215,0.18638184
850.00000000,0.12008115,0.11353619,0.11611895,0.11368294,0.11774296,0.18547201
855.00000000,0.11348727,0.10794999,0.11061102,0.10813587,0.11850605,0.18195006
860.00000000,0.10999467,0.10503460,0.10749996,0.10485850,0.11471996,0.17192229
865.00000000,0.10954465,0.10507373,0.10747061,0.10515199,0.10713798,0.15939002
870.00000000,0.10929028,0.10495633,0.10767606,0.10522048,0.10170831,0.15043839
875.00000000,0.10817500,0.10398779,0.10657056,0.10426172,0.09406764,0.14396192
880.00000000,0.10976966,0.10630641,0.10835110,0.10704015,0.08816837,0.13872791
885.00000000,0.10760758,0.10453565,0.10656077,0.10651186,0.08525298,0.13615493
890.00000000,0.10382148,0.10078869,0.10275511,0.10335189,0.08122230,0.13664409
895.00000000,0.10008430,0.09690476,0.09872444,0.09880270,0.07833626,0.13429613
900.00000000,0.09437092,0.09130878,0.09294257,0.09160227,0.07484366,0.12234106
905.00000000,0.08982173,0.08704330,0.08868688,0.08649544,0.07165434,0.12079532
910.00000000,0.08315938,0.08115382,0.08250390,0.08137884,0.06951182,0.11913218
915.00000000,0.07679052,0.07528391,0.07653615,0.07688835,0.06796608,0.11650050
920.00000000,0.07052927,0.06902266,0.07044123,0.07165434,0.06667470,0.11165782
925.00000000,0.06623054,0.06452729,0.06601727,0.06699754,0.06423672,0.10690319
930.00000000,0.06355092,0.06174103,0.06328775,0.06329558,0.06187995,0.10070064
935.00000000,0.06186724,0.06001430,0.06156102,0.06081652,0.05664692,0.09307953
940.00000000,0.05973450,0.05793146,0.05928839,0.05854291,0.05094234,0.08534103
945.00000000,0.05782678,0.05613428,0.05727696,0.05706956,0.04515558,0.07997984
950.00000000,0.05507966,0.05351630,0.05470692,0.05484975,0.04188115,0.07635027
955.00000000,0.05223568,0.05084353,0.05195686,0.05207817,0.03842181,0.07265223
960.00000000,0.04832436,0.04700852,0.04807782,0.04802010,0.03646909,0.06993250
965.00000000,0.04441304,0.04326449,0.04405889,0.04408530,0.03482062,0.06661600
970.00000000,0.03991473,0.03889728,0.03949209,0.03964471,0.03313987,0.06391192
975.00000000,0.03609830,0.03497030,0.03559545,0.03551229,0.03255288,0.06098088
980.00000000,0.03287963,0.03165478,0.03238852,0.03198839,0.03058058,0.05628690
985.00000000,0.03066472,0.02966390,0.03031644,0.02985761,0.02845274,0.05150292
990.00000000,0.02831382,0.02750377,0.02814653,0.02764269,0.02645501,0.04625228
995.00000000,0.02577019,0.02517928,0.02577801,0.02536614,0.02434184,0.04141645
1000.00000000,0.02370887,0.02330874,0.02380279,0.02362669,0.02173951,0.03700227
1005.00000000,0.02098132,0.02072695,0.02113295,0.02121318,0.01937100,0.03346369
1010.00000000,0.01939252,0.01916458,0.01946981,0.01971537,0.01745839,0.03073027
1015.00000000,0.01763742,0.01740654,0.01769025,0.01792994,0.01544892,0.02813381
1020.00000000,0.01607504,0.01580111,0.01612592,0.01622081,0.01358131,0.02571051
1025.00000000,0.01497933,0.01469464,0.01498617,0.01499009,0.01238776,0.02305144
1030.00000000,0.01319389,0.01293757,0.01319292,0.01311954,0.01104844,0.02074554
1035.00000000,0.01169609,0.01146031,0.01170978,0.01160315,0.00972575,0.01852769
1040.00000000,0.01063461,0.01041840,0.01065026,0.01058569,0.00852438,0.01616211
1045.00000000,0.00897832,0.00879928,0.00901451,0.00901158,0.00700505,0.01452343
1050.00000000,0.00742670,0.00726039,0.00746388,0.00746583,0.00578606,0.01260592
1055.00000000,0.00604923,0.00589955,0.00606390,0.00603944,0.00540354,0.01084299
1060.00000000,0.00525581,0.00510808,0.00524994,0.00519907,0.00443794,0.00936964
1065.00000000,0.00451816,0.00436358,0.00450348,0.00440761,0.00429804,0.00835708
1070.00000000,0.00380105,0.00365528,0.00378833,0.00367387,0.00331091,0.00710777
1075.00000000,0.00347527,0.00333244,0.00345864,0.00334418,0.00285012,0.00608836
1080.00000000,0.00344299,0.00329624,0.00342146,0.00330700,0.00257717,0.00560996
1085.00000000,0.00317982,0.00304774,0.00315047,0.00305948,0.00260359,0.00478133
1090.00000000,0.00268283,0.00255858,0.00264957,0.00256837,0.00227194,0.00416498
1095.00000000,0.00298709,0.00285306,0.00295383,0.00287263,0.00215747,0.00370909
1100.00000000,0.00249108,0.00236781,0.00246369,0.00238542,0.00158907,0.00327374
